Timestamp start: 1778160950794
Timestamp end: 1778162211094

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      240.1   162.9    93.8   153.3   165.5   226.8   253.0   268.5   279.8   294.1   313.9   347.1   439.9  1406.3  8248.6   6885.1     6927
read      354.2   496.5    80.4   137.9   154.0   272.1   328.0   358.7   381.2   408.4   451.2   566.9  2921.3  6496.4  8904.4  52823.7    52892
read      294.2   201.9    80.4   139.9   156.4   262.3   315.5   346.0   369.2   397.5   435.7   512.5   859.8  2719.8  6747.9  98830.7    98921
read      272.6   114.5    80.4   134.6   150.0   256.7   312.2   340.9   361.5   385.0   414.3   459.5   566.1   807.9  2383.0  61079.7    61129
read      292.6   128.3    80.4   140.4   156.5   278.9   333.1   362.4   383.4   407.4   438.8   494.6   620.1  1210.8  2793.1  40607.7    40613
read      294.0   146.7    80.4   136.0   151.0   274.2   334.9   368.8   393.7   423.2   463.1   526.5   646.3  1116.8  4074.9  53231.3    53226
read      284.7   138.6    80.4   140.6   156.4   275.2   325.4   351.6   370.4   392.7   420.1   462.2   559.9   995.4  4090.4  38551.1    38560
read      292.2   243.8    80.4   137.7   153.0   253.7   307.8   338.7   361.7   389.6   427.3   499.6  1021.2  3445.6  7309.9 103388.1   103465
read      265.8   137.0    80.4   134.9   149.8   243.6   295.1   323.9   344.8   369.7   401.2   452.6   588.8  1411.2  4104.4 104791.1   104758
read      260.2   129.0    80.4   132.1   146.2   237.4   290.2   319.7   341.0   365.7   396.2   442.3   575.5  1358.5  3265.2  94822.8    94759
read      315.3   305.3    80.4   138.6   154.6   278.9   332.6   363.2   386.4   415.3   458.2   537.9  1134.0  4332.9 10119.1  37880.2    37799
read      250.4   121.5    93.8   152.9   166.0   238.2   267.8   284.5   296.1   311.6   331.4   364.5   488.9  1692.1  3288.6   8230.4     8296
read      346.4   544.1    80.4   133.5   148.6   254.1   311.7   342.6   365.3   392.1   428.6   512.9  3087.4  6970.8 10416.1  69381.5    69443
read      279.4   141.4    93.8   155.5   172.3   267.0   305.0   325.7   340.9   359.5   383.1   421.8   548.0  1879.4  5800.6  12547.4    12517
read      304.2   163.7    86.8   140.3   156.1   282.1   341.2   374.0   398.5   428.2   469.5   540.1   706.3  1987.2  3904.3  43541.4    43591
read      317.0   172.9    86.8   149.4   168.5   298.2   351.1   380.6   401.7   428.2   465.2   530.1   731.7  2049.0  5678.7  20533.0    20430
read      338.1   389.9    80.4   139.3   155.9   269.8   329.3   363.9   390.6   425.2   480.4   608.6  2246.9  4874.8  8002.3  93699.7    93758
read      262.7    98.7    93.8   156.5   171.9   252.1   285.5   304.1   317.4   334.4   356.4   391.8   493.5  1322.3  2271.5  10517.6    10485
read      297.8   155.9    86.8   152.7   170.3   284.9   329.8   353.8   371.0   392.3   419.6   464.1   612.3  1936.5  5794.3  16548.3    16518
read      324.3   426.1    80.4   134.4   149.2   252.4   310.2   342.0   365.6   393.9   432.7   522.2  2781.0  5278.9  7972.3  83209.1    83230
read      243.3   118.5    93.8   159.5   170.6   231.4   257.9   273.1   285.2   298.5   317.7   349.4   433.2  1425.1  4309.7   5512.7     5484
read      295.5   196.9    80.4   136.6   151.8   263.9   321.2   351.8   373.5   400.1   435.8   521.2   971.8  2397.3  5278.3  55514.3    55611
read      325.1   174.9    86.8   153.6   174.6   306.8   361.0   390.9   412.3   437.0   473.7   535.7   722.9  2213.1  5189.5  20744.2    20774
read      328.8   349.7    80.4   140.9   157.9   270.6   329.2   363.8   390.1   423.2   471.9   581.0  1818.6  4624.7  7882.7  96742.7    96726
read      309.5   168.0    80.4   147.1   164.8   291.9   345.3   374.5   396.6   423.2   459.4   521.8   675.2  2098.4  4553.1  32447.9    32442
read      267.9   132.5    80.4   132.4   146.7   245.2   301.8   332.3   353.7   378.3   409.6   461.4   623.3  1128.0  3437.6  73048.5    73039
read      263.1   116.8    80.4   132.2   146.4   243.4   299.2   329.4   350.3   373.8   402.9   447.8   548.9   852.3  3154.3  74050.9    74055
read      271.8   103.2    80.4   138.1   153.0   260.3   314.2   341.0   359.6   380.1   404.4   442.7   525.7   682.5  1917.9  51213.3    51197
read      265.5   107.8    80.4   134.0   148.7   250.7   306.3   334.3   353.3   374.5   401.1   439.3   527.6   700.4  1960.0  59445.0    59442
read      307.0   172.5    86.8   142.4   159.6   285.8   340.7   371.4   394.9   423.6   465.6   537.3   705.1  2103.1  5417.7  35631.8    35654
read      272.2   173.4    80.4   131.8   146.1   243.2   299.4   330.5   352.4   377.9   411.2   467.2   730.1  2169.8  6122.2  78720.5    78747
read      289.4   126.1    80.4   140.4   155.6   275.8   330.4   360.0   381.1   405.6   437.9   494.9   601.5   995.1  2632.0  42216.3    42212
read      298.5   151.1    80.4   137.4   152.2   275.0   337.5   372.1   398.3   429.8   474.8   542.1   680.4  1588.0  3381.1  52539.9    52488
read      290.6   122.7    80.4   142.0   157.7   279.1   331.5   359.9   380.2   403.9   434.8   487.3   587.3   954.4  2957.3  36959.5    36950
read      296.4   234.3    86.8   150.0   168.0   277.1   319.3   342.6   359.6   378.7   403.7   448.8   718.7  3073.3  8882.8  16772.1    16762
read      330.5   434.2    80.4   133.7   149.1   255.1   313.7   345.8   369.4   397.3   435.2   527.0  2732.5  5216.3  8021.1  79481.3    79473
read      268.0   112.2    80.4   133.6   148.7   252.6   307.9   336.3   355.9   377.7   404.1   446.8   544.3   744.9  2753.5  61386.7    61431
read      259.9   114.3    80.4   132.2   146.5   239.2   292.9   322.3   343.3   367.4   396.9   440.4   550.2  1000.5  2677.8  87272.5    87172
read      271.1   134.3    80.4   137.7   152.6   249.3   300.4   329.2   349.9   374.4   406.4   461.8   614.2  1517.2  3531.8 108162.9   108181
read      257.4   108.9    80.4   130.6   144.3   237.8   292.6   321.9   342.3   365.8   394.4   435.2   540.0   812.6  1988.6  80691.9    80515
read      289.8   144.7    80.4   139.7   155.5   276.6   328.0   355.8   375.6   399.4   430.0   481.7   595.8  1774.9  3941.4  37192.7    37149
read      275.1   118.9    93.8   152.1   168.5   265.3   302.7   322.6   337.8   355.5   377.6   414.6   536.2  1561.1  3198.7  13504.3    13444
read      331.6   465.1    80.4   132.6   147.5   252.5   310.9   341.7   364.2   390.7   426.2   501.3  2891.7  5552.4  8076.4  71931.5    72057
