2026-05-07T14:20:07.728858 start scheduler
2026-05-07T14:20:07.731096 update_cores memcached [0,1]
2026-05-07T14:20:07.933873 update_cores memcached [0]
2026-05-07T14:20:08.130543 start radix [1,2,3] 3
2026-05-07T14:20:21.446614 end radix
2026-05-07T14:20:21.446652 custom radix elapsed%3D13.3s
2026-05-07T14:20:21.660748 start streamcluster [1,2,3] 3
2026-05-07T14:20:25.300431 update_cores memcached [0,1]
2026-05-07T14:20:25.378083 update_cores streamcluster [2,3]
2026-05-07T14:20:25.784702 update_cores memcached [0,1,2]
2026-05-07T14:20:25.854289 update_cores streamcluster [3]
2026-05-07T14:20:27.872932 update_cores memcached [0,1]
2026-05-07T14:20:27.933921 update_cores streamcluster [2,3]
2026-05-07T14:20:28.338646 update_cores memcached [0]
2026-05-07T14:20:28.399992 update_cores streamcluster [1,2,3]
2026-05-07T14:20:29.214133 update_cores memcached [0,1]
2026-05-07T14:20:29.288674 update_cores streamcluster [2,3]
2026-05-07T14:20:29.694184 update_cores memcached [0,1,2]
2026-05-07T14:20:29.758296 update_cores streamcluster [3]
2026-05-07T14:20:31.776324 update_cores memcached [0,1]
2026-05-07T14:20:31.830594 update_cores streamcluster [2,3]
2026-05-07T14:20:39.109976 update_cores memcached [0,1,2]
2026-05-07T14:20:39.224697 update_cores streamcluster [3]
2026-05-07T14:21:09.141292 update_cores memcached [0,1]
2026-05-07T14:21:09.198418 update_cores streamcluster [2,3]
2026-05-07T14:21:09.602969 update_cores memcached [0]
2026-05-07T14:21:09.668976 update_cores streamcluster [1,2,3]
2026-05-07T14:21:11.288635 update_cores memcached [0,1]
2026-05-07T14:21:11.359935 update_cores streamcluster [2,3]
2026-05-07T14:21:11.766320 update_cores memcached [0,1,2]
2026-05-07T14:21:11.820392 update_cores streamcluster [3]
2026-05-07T14:21:13.433419 update_cores memcached [0,1]
2026-05-07T14:21:13.487211 update_cores streamcluster [2,3]
2026-05-07T14:21:13.892926 update_cores memcached [0]
2026-05-07T14:21:13.967609 update_cores streamcluster [1,2,3]
2026-05-07T14:21:15.591114 update_cores memcached [0,1]
2026-05-07T14:21:15.664304 update_cores streamcluster [2,3]
2026-05-07T14:21:16.069619 update_cores memcached [0,1,2]
2026-05-07T14:21:16.130368 update_cores streamcluster [3]
2026-05-07T14:21:17.342643 update_cores memcached [0,1]
2026-05-07T14:21:17.406564 update_cores streamcluster [2,3]
2026-05-07T14:21:17.811284 update_cores memcached [0]
2026-05-07T14:21:17.888120 update_cores streamcluster [1,2,3]
2026-05-07T14:21:19.510620 update_cores memcached [0,1]
2026-05-07T14:21:19.582496 update_cores streamcluster [2,3]
2026-05-07T14:21:19.988356 update_cores memcached [0,1,2]
2026-05-07T14:21:20.061229 update_cores streamcluster [3]
2026-05-07T14:21:21.273177 update_cores memcached [0,1]
2026-05-07T14:21:21.333400 update_cores streamcluster [2,3]
2026-05-07T14:21:21.740491 update_cores memcached [0]
2026-05-07T14:21:21.804657 update_cores streamcluster [1,2,3]
2026-05-07T14:21:23.434085 update_cores memcached [0,1]
2026-05-07T14:21:23.505407 update_cores streamcluster [2,3]
2026-05-07T14:21:23.910898 update_cores memcached [0,1,2]
2026-05-07T14:21:23.979297 update_cores streamcluster [3]
2026-05-07T14:21:26.001988 update_cores memcached [0,1]
2026-05-07T14:21:26.069598 update_cores streamcluster [2,3]
2026-05-07T14:21:34.563457 update_cores memcached [0,1,2]
2026-05-07T14:21:34.629885 update_cores streamcluster [3]
2026-05-07T14:21:36.650175 update_cores memcached [0,1]
2026-05-07T14:21:36.711371 update_cores streamcluster [2,3]
2026-05-07T14:21:38.738823 update_cores memcached [0,1,2]
2026-05-07T14:21:38.815377 update_cores streamcluster [3]
2026-05-07T14:21:40.025787 update_cores memcached [0,1]
2026-05-07T14:21:40.076611 update_cores streamcluster [2,3]
2026-05-07T14:21:40.481919 update_cores memcached [0]
2026-05-07T14:21:40.546458 update_cores streamcluster [1,2,3]
2026-05-07T14:21:42.167565 update_cores memcached [0,1]
2026-05-07T14:21:42.240422 update_cores streamcluster [2,3]
2026-05-07T14:21:42.646274 update_cores memcached [0,1,2]
2026-05-07T14:21:42.707522 update_cores streamcluster [3]
2026-05-07T14:21:43.918549 update_cores memcached [0,1]
2026-05-07T14:21:43.976245 update_cores streamcluster [2,3]
2026-05-07T14:21:44.381657 update_cores memcached [0]
2026-05-07T14:21:44.448508 update_cores streamcluster [1,2,3]
2026-05-07T14:21:46.071240 update_cores memcached [0,1]
2026-05-07T14:21:46.196323 update_cores streamcluster [2,3]
2026-05-07T14:21:46.601443 update_cores memcached [0,1,2]
2026-05-07T14:21:46.667547 update_cores streamcluster [3]
2026-05-07T14:21:47.878734 update_cores memcached [0,1]
2026-05-07T14:21:47.944321 update_cores streamcluster [2,3]
2026-05-07T14:21:48.349480 update_cores memcached [0]
2026-05-07T14:21:48.422867 update_cores streamcluster [1,2,3]
2026-05-07T14:21:50.042314 update_cores memcached [0,1]
2026-05-07T14:21:50.112196 update_cores streamcluster [2,3]
2026-05-07T14:21:50.516979 update_cores memcached [0,1,2]
2026-05-07T14:21:50.574766 update_cores streamcluster [3]
2026-05-07T14:21:51.786947 update_cores memcached [0,1]
2026-05-07T14:21:51.845074 update_cores streamcluster [2,3]
2026-05-07T14:21:52.251064 update_cores memcached [0]
2026-05-07T14:21:52.322151 update_cores streamcluster [1,2,3]
2026-05-07T14:21:53.947952 update_cores memcached [0,1]
2026-05-07T14:21:54.054792 update_cores streamcluster [2,3]
2026-05-07T14:21:54.462347 update_cores memcached [0,1,2]
2026-05-07T14:21:54.568423 update_cores streamcluster [3]
2026-05-07T14:22:39.893360 update_cores memcached [0,1]
2026-05-07T14:22:39.943145 update_cores streamcluster [2,3]
2026-05-07T14:22:40.347357 update_cores memcached [0]
2026-05-07T14:22:40.405631 update_cores streamcluster [1,2,3]
2026-05-07T14:22:42.022201 update_cores memcached [0,1]
2026-05-07T14:22:42.087902 update_cores streamcluster [2,3]
2026-05-07T14:22:42.492382 update_cores memcached [0,1,2]
2026-05-07T14:22:42.553446 update_cores streamcluster [3]
2026-05-07T14:22:43.763772 update_cores memcached [0,1]
2026-05-07T14:22:43.819384 update_cores streamcluster [2,3]
2026-05-07T14:22:44.224019 update_cores memcached [0]
2026-05-07T14:22:44.284321 update_cores streamcluster [1,2,3]
2026-05-07T14:22:45.901840 update_cores memcached [0,1]
2026-05-07T14:22:45.958799 update_cores streamcluster [2,3]
2026-05-07T14:22:46.362510 update_cores memcached [0,1,2]
2026-05-07T14:22:46.417970 update_cores streamcluster [3]
2026-05-07T14:22:47.627274 update_cores memcached [0,1]
2026-05-07T14:22:47.677792 update_cores streamcluster [2,3]
2026-05-07T14:22:48.082379 update_cores memcached [0]
2026-05-07T14:22:48.152625 update_cores streamcluster [1,2,3]
2026-05-07T14:22:49.771370 update_cores memcached [0,1]
2026-05-07T14:22:49.845487 update_cores streamcluster [2,3]
2026-05-07T14:22:50.250161 update_cores memcached [0,1,2]
2026-05-07T14:22:50.308326 update_cores streamcluster [3]
2026-05-07T14:22:51.517787 update_cores memcached [0,1]
2026-05-07T14:22:51.572459 update_cores streamcluster [2,3]
2026-05-07T14:22:51.977530 update_cores memcached [0]
2026-05-07T14:22:52.055273 update_cores streamcluster [1,2,3]
2026-05-07T14:22:53.672043 update_cores memcached [0,1]
2026-05-07T14:22:53.728486 update_cores streamcluster [2,3]
2026-05-07T14:22:54.535057 update_cores memcached [0]
2026-05-07T14:22:54.588719 update_cores streamcluster [1,2,3]
2026-05-07T14:23:09.938565 update_cores memcached [0,1]
2026-05-07T14:23:10.030694 update_cores streamcluster [2,3]
2026-05-07T14:23:10.437471 update_cores memcached [0,1,2]
2026-05-07T14:23:10.508088 update_cores streamcluster [3]
2026-05-07T14:23:23.818090 update_cores memcached [0,1]
2026-05-07T14:23:23.864329 update_cores streamcluster [2,3]
2026-05-07T14:23:24.268277 update_cores memcached [0]
2026-05-07T14:23:24.318984 update_cores streamcluster [1,2,3]
2026-05-07T14:23:40.068182 update_cores memcached [0,1]
2026-05-07T14:23:40.132581 update_cores streamcluster [2,3]
2026-05-07T14:23:40.537966 update_cores memcached [0,1,2]
2026-05-07T14:23:40.596491 update_cores streamcluster [3]
2026-05-07T14:23:42.209417 update_cores memcached [0,1]
2026-05-07T14:23:42.265330 update_cores streamcluster [2,3]
2026-05-07T14:23:42.669962 update_cores memcached [0]
2026-05-07T14:23:42.748053 update_cores streamcluster [1,2,3]
2026-05-07T14:23:43.962666 update_cores memcached [0,1]
2026-05-07T14:23:44.027400 update_cores streamcluster [2,3]
2026-05-07T14:23:44.432241 update_cores memcached [0,1,2]
2026-05-07T14:23:44.487754 update_cores streamcluster [3]
2026-05-07T14:23:45.698601 update_cores memcached [0,1]
2026-05-07T14:23:45.752349 update_cores streamcluster [2,3]
2026-05-07T14:23:46.156881 update_cores memcached [0]
2026-05-07T14:23:46.218612 update_cores streamcluster [1,2,3]
2026-05-07T14:23:47.432533 update_cores memcached [0,1]
2026-05-07T14:23:47.505540 update_cores streamcluster [2,3]
2026-05-07T14:23:47.909975 update_cores memcached [0,1,2]
2026-05-07T14:23:47.967821 update_cores streamcluster [3]
2026-05-07T14:23:49.581009 update_cores memcached [0,1]
2026-05-07T14:23:49.633325 update_cores streamcluster [2,3]
