Total number of intervals = 84 (6927, 52892, 98921, 61129, 40613, 53226, 38560, 103465, 104758, 94759, 37799, 8296, 69443, 12517, 43591, 20430, 93758, 10485, 16518, 83230, 5484, 55611, 20774, 96726, 32442, 73039, 74055, 51197, 59442, 35654, 78747, 42212, 52488, 36950, 16762, 79473, 61431, 87172, 108181, 80515, 37149, 13444, 72057, 70041, 90162, 52082, 24258, 72013, 58012, 45398, 50177, 34504, 66010, 73937, 55020, 53235, 97743, 5419, 14764, 7451, 48208, 16149, 78989, 18886, 75954, 44409, 16431, 85707, 58253, 103867, 21604, 90401, 84467, 99700, 32052, 18173, 67789, 51929, 83850, 18614, 29315, 108090, 27024, 49907)
Average QPS expected = 53837

Timestamp start: 1778162272504
Timestamp end: 1778163532799

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      263.1   234.1    93.8   160.4   173.6   243.4   273.4   290.9   303.9   319.2   341.9   379.8   545.5  2980.8  9449.5   6917.1     6927
read      326.0   264.7    80.4   135.4   151.1   272.6   337.0   375.1   406.6   453.2   530.9   671.2  1241.9  3301.4  7483.2  52946.5    52892
read      306.0   352.9    80.4   134.0   149.0   249.0   304.5   336.1   359.8   389.1   430.1   519.1  1732.4  4679.6  7883.4  98932.3    98921
read      259.3   115.0    80.4   131.5   145.6   243.9   297.3   324.5   343.3   365.1   391.7   429.9   510.9   732.3  3476.1  61157.5    61129
read      311.0   185.8    80.4   137.5   153.8   280.6   340.7   376.8   404.5   440.1   495.7   576.9   791.0  2307.4  4342.7  40670.6    40613
read      286.0   165.2    80.4   132.4   146.7   259.0   317.6   350.4   374.8   404.9   447.3   523.5   726.5  1943.2  3937.6  53333.3    53226
read      310.2   180.1    80.4   139.9   156.3   282.8   341.8   376.4   402.9   436.0   487.0   561.8   759.7  2076.3  4576.5  38568.1    38560
read      284.2   267.0    80.4   134.5   149.3   244.4   297.3   327.6   349.5   376.5   413.1   482.0   931.4  3764.5  7860.1 103398.1   103465
read      259.0   123.7    80.4   133.5   147.9   237.7   287.7   315.6   336.0   360.2   391.3   439.0   577.3  1157.4  3388.9 104790.0   104758
read      261.6   138.1    80.4   132.5   146.7   238.7   290.3   318.8   339.9   364.9   396.3   445.8   586.1  1513.5  4039.0  94667.9    94759
read      306.7   167.7    80.4   140.2   156.9   280.8   336.7   370.2   396.6   430.2   483.6   561.4   738.8  1871.5  3784.5  37712.6    37799
read      265.6   124.0    86.8   163.4   178.0   252.9   285.2   303.4   316.8   333.9   355.9   392.1   500.1  1414.7  5439.0   8326.1     8296
read      343.9   554.1    74.4   131.1   146.0   253.2   310.2   341.0   364.1   392.0   430.7   525.9  3180.3  7065.7  8837.1  69426.2    69443
read      276.9   136.3    86.8   156.4   173.6   265.1   302.8   323.0   338.6   356.8   379.9   418.6   530.2  1629.0  4542.0  12510.7    12517
read      327.5   233.2    80.4   138.2   155.4   287.4   350.9   389.6   420.7   465.1   530.6   631.7   954.1  2894.3  7556.6  43562.0    43591
read      321.6   175.5    80.4   151.4   172.4   301.6   356.5   386.6   407.5   433.6   470.8   533.5   732.6  2265.6  4254.5  20420.7    20430
read      316.7   364.3    80.4   135.7   151.5   257.6   313.7   345.6   370.2   400.3   444.5   537.5  1950.1  4636.8  7930.0  93798.2    93758
read      278.3   133.6    80.4   161.1   177.3   264.6   300.9   320.9   336.6   354.7   378.4   418.2   550.5  1759.6  3608.8  10488.0    10485
read      293.9   141.6    80.4   152.4   170.8   281.7   326.5   349.6   366.8   387.2   413.0   456.7   587.9  1899.4  3777.3  16522.0    16518
read      337.6   482.5    80.4   134.6   149.9   255.4   313.4   345.8   370.3   399.9   442.5   542.0  2956.1  6420.1  8215.0  83250.7    83230
read      242.6   143.7   101.3   158.8   170.1   229.8   256.2   271.6   283.5   296.7   316.2   346.1   428.2  1634.1  7517.0   5471.3     5484
read      298.9   182.9    80.4   132.2   147.1   263.0   326.9   363.6   391.3   425.5   476.6   570.5   927.6  1807.3  4147.3  55629.1    55611
read      308.8   199.1    80.4   149.7   168.5   292.4   342.6   370.1   389.8   412.3   441.8   494.4   640.7  2264.9  9035.5  20714.1    20774
read      325.1   405.5    80.4   133.6   149.1   253.9   311.1   343.7   368.7   399.5   445.3   553.8  2640.7  5013.3  8014.1  96767.5    96726
read      317.4   203.0    80.4   135.0   152.9   292.0   354.5   389.1   413.3   442.3   484.3   544.7   830.6  2571.5  6165.2  32473.3    32442
read      265.6   194.2    80.4   128.7   142.3   237.1   291.5   320.5   341.3   365.6   396.2   445.6   628.8  3030.3  6334.7  72928.9    73039
read      254.7   111.3    80.4   128.0   141.5   235.6   289.8   318.4   338.8   362.3   391.3   433.2   535.9   832.0  2647.1  74120.3    74055
read      320.7   249.4    80.4   134.5   151.0   277.3   341.8   380.1   409.3   449.3   511.9   617.4  1030.2  3255.0  7537.9  51230.0    51197
read      271.9   145.5    80.4   127.9   141.3   249.2   308.2   340.2   363.7   390.9   425.3   482.3   613.4  1638.5  3709.5  59539.7    59442
read      307.0   187.5    80.4   135.7   152.2   282.2   342.5   376.2   400.5   429.5   469.7   535.6   745.5  2572.0  4341.5  35599.9    35654
read      257.2   146.3    80.4   128.2   141.6   234.2   287.9   317.2   337.9   361.8   391.6   435.3   560.9  1736.4  4557.6  78751.5    78747
read      306.7   193.4    80.4   135.9   152.4   279.1   338.7   372.7   398.5   430.2   477.2   551.4   748.4  2520.6  5041.2  42265.9    42212
read      306.1   212.3    74.4   133.2   149.2   270.0   331.9   367.8   395.5   431.1   489.9   586.1   852.9  2590.1  6892.2  52436.6    52488
read      304.9   194.7    80.4   137.1   153.6   279.6   337.4   369.8   394.3   423.7   464.9   533.4   732.3  2586.5  5646.6  37032.4    36950
read      282.6   131.6    86.8   147.3   164.5   272.8   315.4   337.9   353.7   371.7   396.0   432.3   549.8  1592.4  2953.9  16771.7    16762
read      317.4   409.7    80.4   130.7   145.4   247.3   304.4   336.1   359.4   387.6   426.3   511.9  2625.9  5047.8  7988.6  79429.9    79473
read      269.2   132.0    80.4   128.7   142.3   248.1   306.7   338.0   360.6   387.0   420.2   471.4   587.4  1272.7  3204.5  61386.6    61431
read      260.7   138.2    80.4   129.8   143.7   237.0   290.2   319.3   340.5   365.2   396.5   447.4   593.7  1652.9  3767.2  87141.7    87172
read      286.6   161.7    80.4   139.5   155.7   260.1   313.1   343.3   366.7   395.4   434.7   508.6   702.6  2157.2  4014.3 108205.1   108181
read      269.1   138.9    80.4   131.6   146.6   246.6   301.0   331.1   352.8   378.6   412.0   467.0   617.9  1288.0  3697.4  80582.3    80515
read      324.1   259.7    74.4   137.9   156.0   288.6   347.9   383.5   409.9   444.0   495.6   576.0   976.7  3677.2  7749.0  37260.6    37149
read      288.2   174.7    86.8   151.8   169.6   271.2   312.2   334.7   350.8   370.6   396.8   437.7   672.0  2383.3  7306.0  13491.5    13444
read      340.4   483.6    80.4   133.7   149.0   254.8   312.4   343.5   366.8   395.1   434.0   533.5  2917.5  5787.3  8130.3  71989.5    72057
read      256.0   105.8    80.4   129.1   142.8   238.4   292.6   321.0   341.1   364.0   392.3   433.1   528.3   734.1  1632.2  69993.2    70041
