Random waveform, supplied seed
Total number of intervals = 84 (6927, 52892, 98921, 61129, 40613, 53226, 38560, 103465, 104758, 94759, 37799, 8296, 69443, 12517, 43591, 20430, 93758, 10485, 16518, 83230, 5484, 55611, 20774, 96726, 32442, 73039, 74055, 51197, 59442, 35654, 78747, 42212, 52488, 36950, 16762, 79473, 61431, 87172, 108181, 80515, 37149, 13444, 72057, 70041, 90162, 52082, 24258, 72013, 58012, 45398, 50177, 34504, 66010, 73937, 55020, 53235, 97743, 5419, 14764, 7451, 48208, 16149, 78989, 18886, 75954, 44409, 16431, 85707, 58253, 103867, 21604, 90401, 84467, 99700, 32052, 18173, 67789, 51929, 83850, 18614, 29315, 108090, 27024, 49907)
Average QPS expected = 53837
Timestamp start: 1778163608386
Timestamp end: 1778164868682

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      246.9   139.7    93.8   154.6   166.6   233.6   263.4   279.1   291.3   305.9   324.0   356.4   452.7  1836.9  5773.7   6904.1     6927
read      306.4   214.5    80.4   137.1   152.3   273.1   337.0   372.7   399.1   431.5   480.6   562.6   796.6  3063.8  6812.4  52964.9    52892
read      285.0   195.1    74.4   137.3   152.8   255.2   307.8   337.4   359.5   386.3   422.5   489.7   769.3  2885.6  5802.3  98948.4    98921
read      265.6   108.5    80.4   132.6   147.2   251.0   305.5   333.4   352.9   374.6   401.9   442.2   537.6   733.7  2299.4  61068.2    61129
read      324.9   216.8    80.4   141.8   159.8   292.0   355.3   391.8   419.4   455.7   507.7   587.9   862.8  2793.9  7102.6  40583.3    40613
read      300.7   159.5    80.4   137.7   153.6   274.5   335.9   370.6   396.7   428.2   472.5   548.4   734.1  1721.5  3692.8  53316.6    53226
read      326.0   219.8    80.4   142.5   161.0   294.7   357.1   393.0   420.0   455.2   506.7   586.3   846.3  2769.7  7537.7  38585.1    38560
read      325.5   311.9    80.4   142.8   160.9   276.2   333.7   368.0   394.9   429.6   483.7   587.7  1185.7  4309.4  7795.1 103425.7   103465
read      276.4   142.8    80.4   137.7   153.2   253.7   305.2   334.4   355.8   381.4   416.1   475.2   644.0  1558.2  4144.9 104812.7   104758
read      261.8   121.0    80.4   132.5   147.1   241.4   293.0   321.6   342.4   366.9   397.5   445.9   575.5  1136.8  2917.5  94729.3    94759
read      308.0   175.5    86.8   141.3   158.0   283.2   340.4   372.6   396.9   426.9   469.8   543.0   752.6  2255.3  4177.5  37848.0    37799
read      255.7   111.0    93.8   158.9   172.1   244.5   275.1   292.5   305.3   319.5   340.4   372.6   465.3  1651.1  3145.8   8295.9     8296
read      322.3   416.9    80.4   133.3   148.3   252.4   309.6   340.3   362.6   388.9   424.4   499.6  2607.3  5113.3  8110.6  69438.9    69443
read      278.3   163.0    93.8   157.4   173.0   265.5   302.8   323.0   338.4   356.3   378.6   414.7   525.2  1852.3  7545.7  12510.7    12517
read      308.5   194.2    80.4   139.0   154.6   278.9   338.5   372.4   398.3   430.9   481.3   562.2   784.2  2559.2  4873.9  43571.5    43591
read      298.0   147.1    86.8   149.4   166.5   284.3   334.1   360.5   378.8   400.0   428.1   471.7   611.5  1959.8  3585.2  20441.1    20430
read      325.6   414.3    80.4   136.6   152.0   257.8   313.8   345.5   369.5   398.3   438.2   532.8  2559.5  5391.2  8030.5  93773.8    93758
read      272.9   128.5    93.8   161.4   176.4   261.0   295.6   315.2   329.6   346.0   369.2   403.4   517.4  1510.2  4443.6  10491.4    10485
read      305.1   171.7    86.8   157.2   175.6   288.7   335.5   361.0   379.0   400.1   428.6   475.6   675.7  2149.7  6117.0  16479.4    16518
read      330.7   472.5    80.4   134.2   149.5   254.6   310.7   341.5   364.3   391.5   429.3   519.1  2680.8  6599.5  8725.5  83167.3    83230
read      240.3   107.5   101.3   158.7   169.2   228.8   255.7   270.7   281.8   294.7   313.3   342.8   429.2  1390.8  3222.8   5489.7     5484
read      297.8   166.9    80.4   135.7   150.6   267.4   330.5   366.2   392.9   425.2   471.4   555.6   795.1  1692.5  4017.5  55573.7    55611
read      297.2   135.2    86.8   149.7   166.6   284.2   333.9   360.7   379.5   400.9   429.0   473.6   603.1  1625.6  3013.1  20766.6    20774
read      379.1   514.3    80.4   142.0   159.7   276.5   335.1   369.9   397.7   434.2   499.5   734.9  2976.7  5805.2  8133.2  96696.7    96726
read      319.2   260.0    80.4   141.0   158.3   289.7   350.8   384.5   407.8   435.0   472.1   532.5   805.0  3616.7  8105.9  32461.2    32442
read      276.2   213.9    80.4   131.8   146.4   245.9   301.1   330.9   351.7   375.6   405.5   455.9   683.1  3108.3  6924.0  73015.1    73039
read      262.2   113.1    80.4   131.4   145.7   243.4   298.5   327.9   348.0   371.6   400.3   442.9   548.2   923.8  2631.5  74052.1    74055
read      320.0   275.9    80.4   136.1   151.9   275.3   338.2   373.8   401.2   435.6   493.3   590.7  1157.1  3916.1  7546.6  51196.6    51197
read      273.6   154.7    80.4   133.2   148.3   253.8   308.7   336.8   356.7   379.4   407.4   454.2   616.5  1935.8  4536.0  59468.4    59442
read      325.5   307.8    80.4   139.5   156.7   289.1   350.3   384.2   408.0   436.6   478.4   547.6  1071.4  4776.5  8993.9  35578.9    35654
read      319.1   371.0    80.4   134.2   150.1   259.2   315.5   346.6   370.1   398.5   437.2   528.5  2065.1  4742.9  7948.9  78817.1    78747
read      329.0   268.7    80.4   138.7   156.5   288.3   350.1   386.1   413.0   448.2   501.1   591.7  1193.8  3508.4  7764.1  42169.0    42212
read      303.1   195.1    80.4   135.0   150.9   273.8   335.0   369.7   395.3   426.6   470.0   547.6   791.7  2606.6  5090.3  52502.5    52488
read      312.7   206.9    80.4   135.4   152.0   284.0   347.0   382.5   407.4   438.3   483.4   555.5   840.3  2605.5  7466.6  37076.7    36950
read      274.3   129.2    86.8   145.2   161.2   263.8   305.2   326.9   342.1   360.9   384.3   421.4   546.4  1618.4  3121.6  16770.7    16762
read      313.3   401.6    80.4   132.1   146.8   248.0   303.1   333.3   355.0   380.7   415.5   484.9  2587.7  4960.1  7950.1  79399.1    79473
read      261.2   104.5    80.4   132.0   146.3   247.6   301.6   328.6   346.8   368.3   394.2   430.7   508.5   681.5  2417.9  61412.9    61431
read      254.6   112.0    80.4   130.1   143.9   235.2   287.5   316.5   337.1   360.6   389.5   431.4   532.2   833.3  3174.7  87067.6    87172
read      267.5   126.4    80.4   137.3   152.3   247.9   297.1   325.0   344.8   369.0   399.6   449.5   586.6  1274.1  3597.2 108211.7   108181
read      257.5   106.0    80.4   130.8   144.8   239.2   292.7   321.5   341.7   365.0   393.4   434.0   534.3   799.6  1881.6  80512.5    80515
read      303.3   185.4    80.4   135.4   151.5   279.7   339.4   372.0   395.6   423.5   461.1   524.4   749.2  2415.1  5401.5  37140.1    37149
read      265.0   129.6    86.8   148.9   163.8   254.8   291.1   311.1   325.1   342.2   364.8   399.0   509.0  1490.7  3835.8  13418.3    13444
read      349.6   512.5    80.4   132.5   148.2   257.8   314.2   345.1   368.3   396.3   435.2   540.9  2945.9  6153.8  9751.5  72138.3    72057
read      257.6   108.1    80.4   129.9   143.8   241.2   295.8   324.0   343.4   365.6   392.4   430.9   516.7   709.3  2624.0  69874.5    70041
read      259.1   117.4    80.4   132.1   146.4   239.8   291.9   320.4   341.1   364.9   394.1   436.3   546.3   990.4  2931.6  90186.1    90162
read      300.5   199.7    80.4   133.6   149.2   269.8   330.4   364.4   389.5   420.8   466.6   548.1   800.9  2678.8  5699.8  52138.7    52082
read      312.0   172.7    80.4   145.1   164.5   294.7   350.5   379.7   399.9   424.1   455.6   506.5   713.9  2135.4  5018.5  24327.1    24258
read      309.5   363.1    74.4   132.2   147.7   255.8   311.4   341.8   364.2   390.7   425.7   495.1  1995.1  4700.2  8040.2  72067.2    72013
read      271.1   117.3    80.4   132.9   148.5   257.4   311.0   338.7   358.3   380.6   408.4   452.6   558.0   822.8  3136.0  58024.8    58012
read      290.3   135.4    80.4   135.7   151.6   273.9   330.7   362.4   385.3   411.8   446.7   503.4   623.5  1092.7  3027.5  45407.2    45398
read      285.8   146.8    80.4   132.9   148.0   267.0   324.8   356.9   379.9   406.4   441.1   498.0   620.7  1629.4  3443.1  50121.7    50177
read      311.9   198.0    80.4   139.5   156.8   289.3   350.3   383.5   406.5   434.3   471.6   533.9   705.1  2456.1  7735.3  34479.3    34504
read      285.2   210.9    80.4   131.6   146.2   249.9   307.5   338.0   359.9   385.4   419.3   483.5  1066.6  2685.1  5635.3  66035.1    66010
read      257.9   114.7    80.4   129.5   143.4   239.7   294.9   323.7   343.8   367.1   395.2   435.6   531.8   803.6  1894.2  73829.7    73937
read      276.8   135.0    80.4   130.9   144.7   256.3   314.8   346.7   370.5   398.5   433.9   493.3   610.4  1241.6  3204.7  54957.9    55020
read      279.9   142.8    80.4   131.7   145.6   259.3   318.0   350.6   374.6   403.0   438.3   498.0   614.6  1340.9  3926.0  53196.7    53235
read      271.8   206.3    80.4   132.8   147.4   242.2   293.7   322.3   343.3   368.1   399.7   452.9   676.6  3312.8  7298.7  97828.5    97743
read      248.7   221.1    93.8   159.1   170.4   230.9   257.9   273.0   285.1   298.6   318.3   351.1   465.9  2340.4  9005.9   5440.3     5419
read      299.6   191.8    93.8   156.1   174.1   280.2   322.8   345.8   363.1   382.9   408.1   453.9   814.2  2629.4  7560.6  14741.7    14764
