Random waveform, supplied seed
Total number of intervals = 252 (6927, 52892, 98921, 61129, 40613, 53226, 38560, 103465, 104758, 94759, 37799, 8296, 69443, 12517, 43591, 20430, 93758, 10485, 16518, 83230, 5484, 55611, 20774, 96726, 32442, 73039, 74055, 51197, 59442, 35654, 78747, 42212, 52488, 36950, 16762, 79473, 61431, 87172, 108181, 80515, 37149, 13444, 72057, 70041, 90162, 52082, 24258, 72013, 58012, 45398, 50177, 34504, 66010, 73937, 55020, 53235, 97743, 5419, 14764, 7451, 48208, 16149, 78989, 18886, 75954, 44409, 16431, 85707, 58253, 103867, 21604, 90401, 84467, 99700, 32052, 18173, 67789, 51929, 83850, 18614, 29315, 108090, 27024, 49907, 9150, 34328, 51881, 14569, 81517, 78694, 93409, 39093, 18729, 70818, 21942, 91810, 39588, 40957, 62645, 15539, 107672, 32954, 58866, 23739, 54701, 60706, 72350, 58661, 34912, 103268, 38703, 83358, 57408, 86837, 33517, 66204, 73758, 99742, 109462, 94453, 44096, 100467, 8576, 59359, 7614, 60329, 43762, 67038, 26095, 71173, 109276, 13150, 61250, 84472, 82226, 27671, 98736, 106314, 105027, 96867, 89493, 50538, 22083, 48618, 94298, 63579, 64573, 77178, 29824, 64495, 20917, 85651, 61935, 50216, 72251, 71798, 19701, 24952, 81838, 26648, 24837, 29420, 103882, 70314, 61679, 49557, 19325, 9128, 94933, 24327, 71896, 93771, 20452, 42338, 72627, 80603, 49049, 92305, 56889, 78036, 71583, 72609, 107382, 86530, 16550, 84534, 72631, 49291, 62175, 80213, 16566, 53985, 101949, 24076, 52574, 106271, 105451, 86087, 29108, 101115, 74326, 75832, 94901, 15809, 28874, 51882, 32653, 41676, 63019, 99164, 47055, 62394, 98519, 32122, 49464, 24034, 77363, 91698, 38997, 86028, 83012, 15024, 56640, 97362, 107412, 65030, 79278, 47544, 105368, 58181, 56960, 14849, 63672, 48289, 11797, 10781, 49362, 102119, 46213, 97025, 18351, 21426, 43013, 67376, 36043, 6255, 102499, 26263, 56974, 40869, 46514, 11431)
Average QPS expected = 57290
Timestamp start: 1778166257186
Timestamp end: 1778167517537

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      241.0   117.0    93.8   151.7   164.1   228.6   256.8   272.4   284.5   297.6   316.8   347.3   437.7  1781.6  3668.9   6896.6     6927
read      337.5   285.1    80.4   135.1   151.1   282.2   350.3   395.2   431.6   481.9   554.1   671.8  1272.6  3751.7  7573.9  52756.2    52892
read      300.8   344.9    80.4   134.2   149.2   249.0   302.7   333.4   356.1   383.8   421.8   494.0  1586.0  4384.4  7899.8  99019.4    98921
read      258.8   104.7    80.4   131.1   145.1   246.1   298.7   324.6   342.8   363.8   389.5   427.4   507.5   678.2  1728.8  61078.8    61129
read      335.1   260.6    80.4   141.4   158.3   284.5   342.2   379.0   410.4   459.4   550.8   706.1  1171.7  3483.1  7266.8  40618.0    40613
read      387.3   268.4    80.4   140.4   159.3   318.8   424.3   494.2   545.4   603.4   681.5   823.3  1285.8  2211.3  7048.4  53210.8    53226
read      330.2   221.2    86.8   135.3   152.8   305.7   379.5   418.7   446.2   478.7   522.8   581.6   718.7  2527.2  8058.8  38533.2    38560
read      906.9  1173.5    93.8   199.1   226.5   400.2   525.4   689.7  1422.9  2047.1  2775.7  3386.2  5311.0  7999.0  9562.1 103319.2   103465
read      469.2   302.0    93.8   234.4   266.4   432.2   514.8   561.1   594.5   635.4   688.2   772.4   963.7  5242.6  8080.7 104905.8   104758
read      301.0   173.4    86.8   145.1   163.1   274.2   328.5   360.4   385.0   416.6   462.2   543.5   727.9  1558.0  5739.1  94673.0    94759
read      318.8   317.8    80.4   137.6   153.2   277.1   328.8   359.5   383.8   416.1   462.3   553.3  1355.4  4657.4  8104.8  37815.8    37799
read      247.9   113.6    93.8   150.1   163.1   234.0   265.6   283.1   295.6   312.1   333.3   369.2   490.4  1640.7  3143.1   8232.4     8296
read      510.2   807.8    80.4   139.9   157.9   286.3   349.4   389.9   424.8   484.0   729.5  2472.9  4123.8  7690.8  8729.2  69002.0    69443
read      268.3   125.8    93.8   151.3   167.5   255.2   290.0   309.5   323.2   340.4   363.7   403.1   632.1  1621.6  2922.5  12633.8    12517
read      389.4   620.8    86.8   136.8   153.3   288.6   356.4   396.6   427.9   468.6   535.4   673.0  2911.1  8916.8 12496.6  43549.2    43591
read      297.5   202.6    86.8   145.5   163.8   274.9   318.6   343.7   362.4   384.5   414.7   466.1   914.8  2718.0  7274.5  20564.0    20430
read      604.8   836.2    86.8   170.6   200.2   359.5   449.0   516.0   575.8   671.1  1312.9  2430.5  4218.2  7806.9 12133.4  93635.6    93758
read      269.0   194.1    93.8   155.7   173.8   252.6   284.7   302.8   316.3   333.5   356.1   394.5   590.6  2105.7  8609.9  10554.0    10485
