Timestamp start: 1778760371212
Timestamp end: 1778761501563

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      225.1    89.6    86.8   147.0   162.0   214.8   236.3   249.7   259.4   271.2   287.9   314.9   437.4  1253.9  2524.4   6872.2     6927
read      280.4   199.2    74.4   118.4   131.4   248.7   304.1   337.4   364.5   399.0   448.7   533.7   843.0  2551.0  5205.3  52885.0    52892
read      260.0   217.5    74.4   120.1   134.1   230.0   279.3   306.2   325.4   349.2   383.1   441.8   776.8  3247.0  6951.6  99125.0    98921
read      318.0   409.8    74.4   117.7   130.9   248.0   309.0   346.7   379.9   424.0   486.9   599.8  1956.1  5773.7  8015.3  61194.4    61129
read      266.6   153.0    74.4   120.0   133.5   248.8   296.4   323.3   344.9   371.6   407.0   466.5   639.5  1902.3  3586.2  40583.2    40613
read      281.0   181.6    74.4   117.7   130.7   251.2   309.8   345.4   374.5   412.3   462.4   542.9   763.6  2119.9  5220.7  53319.0    53226
read      320.4   246.6    74.4   120.6   137.6   284.0   356.5   397.6   426.9   462.2   507.1   580.2   936.2  3406.7  7432.0  38614.8    38560
read      287.5   434.3    74.4   121.4   136.2   237.9   288.3   316.4   338.1   365.7   404.6   487.0   780.5  6871.3  9545.8 103529.8   103465
read      244.6   123.2    74.4   119.6   133.4   226.7   273.8   299.2   317.6   340.1   369.9   420.3   549.0  1377.1  3174.4 104903.0   104758
read      238.9   107.5    74.4   117.6   130.6   222.7   270.9   296.3   314.5   336.1   364.2   408.5   528.3  1005.6  2035.1  94700.6    94759
read      314.6   219.6    74.4   121.4   138.1   280.2   349.0   391.0   421.4   457.4   502.7   574.9   895.6  2853.9  6469.9  37864.2    37799
read      231.6   114.8    86.8   145.3   161.9   220.1   244.4   258.5   269.1   281.9   298.2   330.1   464.4  1784.8  3471.1   8303.2     8296
read      321.9   514.0    74.4   118.3   131.5   242.4   303.1   341.2   374.2   422.6   491.3   598.1  1747.3  6923.4  8675.9  69377.8    69443
